#UTX 1.20; lang: en/pt; creation date:2020-08-29; domain:computer; license: CC BY-NC 4.0														
#https://www.localeplanet.com/icu/pt/index.html														
#src:en	src:pos	tgt:pt	term status:pt	comment:pt	tgt:pt-BR	term status:pt-BR	comment:pt-BR	tgt:pt-PT	term status:pt-PT	comment:pt-PT	tgt:pt-AO	term status:pt-AO	comment:pt-AO	concept id
reliability		fiabilidade												
remote login		iniciar uma sessão remotamente												
Representational State Transfer		arquitetura REST												
Resource Description Framework		modelo RDF												
Resource Reservation Setup protocol		protocolo RSVP												
risk management		gestão do risco												
roadmap		roteiro												
roaming		roaming												
robot		robô												
robotics		robótica												
router		roteador												
RSA algorithm		algoritmo RSA												
safer Internet day		dia da Internet mais segura												
safety		garantia de segurança												
scam		fraude												
acambaiting		apanha ardilosa												
scanner		digitalizador (por varrimento)												
scorecard		scorecard												
screen scraping		captura de dados em ecrã												
search		pesquisa (de informação)												
search engine		motor de busca												
search results		resultado da pesquisa (de informação)												
secret key		chave secreta												
Secure Socket Layer		protocolo SSL												
security		segurança												
security audit		auditoria de segurança												
semantic Web		Web semântica												
sent items		caixa de itens enviados												
server		servidor												
service		serviço												
service level agreement		acordo de nível de serviço												
service oriented architecture		arquitetura orientada a serviços												
service pack		pacote de correção (de erros específicos)												
service provider		fornecedor de serviços												
service ability		disponibilidade de um serviço												
session		sessão												
set­top box		caixa adaptadora												
shared service center		centro de serviços partilhados												
shareware		software de utilização condicionada												
Short Message service		serviço de mensagens curtas												
shut­down		encerramento												
shutdown		fecho												
signature card		cartão de assinatura												
Simple Mail Transfer Protocol		protocolo SMTP												
Simple Object Access Protocol		protocolo SOAP												
single access point		ponto de acesso único												
single sign­on		autenticação única												
slideware		software por diapositivos												
smart card		cartão inteligente												
smart fabrics		tecidos inteligentes												
Smart Pill		Pílula inteligente												
smartphone		telefone inteligente												
snail mail		correio postal												
social BPM		gestão social de processos de negócio												
social engineering		engenharia social												
social media		media sociais												
social network		rede social												
socio­technical		sociotécnico												
socio­technical system		sistema sociotécnico												
software		software												
software as a service		software como serviço												
software engineering		engenharia de software												
software house		empresa de software												
software Integrity		Integridade de software												
spam		spam												
spoofing		falsificação da identidade												
spyware		software espião												
standard		norma												
Standard Generalized Markup Language		linguagem SGML												
streaming		fluxo contínuo												
Structured Query Language		linguagem SQL												
Surface web		Web superficial												
switch		comutador												
switched circuit		circuito comutado												
symmetric cryptography		criptografia simétrica												
symmetric digital subscriber line		linha de subscritor digital simétrica												
system software		software de sistema												
tablet computer		computador tablete												
taxonomy		taxonomia												
technologic innovation		inovação tecnológica												
telecommunications		telecomunicações												
telecommunications policy		política de telecomunicações												
teleconference		teleconferência												
telematics		telemática												
telemedicine		telemedicina												
telephony		telefonia												
teleservice		teleserviço												
teleworking		teletrabalho												
Telnet protocol		protocolo Telnet												
template (1)		modelo de apresentação												
template (2)		padrão de referência												
thread		linha de discussão												
threat		ameaça												
time stamp		marca do dia												
timeout		tempo (de espera) excedido												
timestamp		datação												
token		dispositivo de autenticação												
top domain		domínio de topo												
touch screen		ecrã tátil												
traceability		rastreabilidade												
Trans­European Services for Telematics between Administrations		Serviços Transeuropeus para Comunicação à Distância entre Administrações												
transactions		transações												
Transmission Control protocol		protocolo TCP												
Transmission Control protocol/Internet protocol		protocolo TCP/IP												
transmission rate		velocidade de transmissão												
treeware		treeware												
trojan (horse)		cavalo de Troia												
trust		confiança												
trust center		entidade certificadora												
trusted time stamp		validação cronológica												
trustmark		marca de confiança												
Ultra High Definition television		Televisão de muito alta definição												
ultra­wide band		banda ultralarga												
Uniform Resource Locator		endereço Web												
